iter	Passed	Remaining
0	1	186
1	3	175
2	5	176
3	6	166
4	8	160
5	9	156
6	11	155
7	13	152
8	14	151
9	16	148
10	17	144
11	19	142
12	20	140
13	22	138
14	24	137
15	25	136
16	27	134
17	29	133
18	30	132
19	32	131
20	34	131
21	36	129
22	38	128
23	40	127
24	41	125
25	43	123
26	45	121
27	46	119
28	48	117
29	49	115
30	51	113
31	52	111
32	53	109
33	55	107
34	56	105
35	58	103
36	59	101
37	61	99
38	62	98
39	64	96
40	65	94
41	65	91
42	67	89
43	68	86
44	69	84
45	70	82
46	72	81
47	73	79
48	74	77
49	75	75
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	82	64
56	83	62
57	84	61
58	86	59
59	87	58
60	88	56
61	89	54
62	90	53
63	91	51
64	93	50
65	94	48
66	95	46
67	96	45
68	97	43
69	98	42
70	99	40
71	101	39
72	102	37
73	103	36
74	104	34
75	105	33
76	107	31
77	108	30
78	109	29
79	110	27
80	111	26
81	112	24
82	113	23
83	114	21
84	115	20
85	116	19
86	117	17
87	118	16
88	120	14
89	121	13
90	122	12
91	123	10
92	124	9
93	124	7
94	125	6
95	126	5
96	127	3
97	128	2
98	129	1
99	130	0
